year,fileName,logicalRoles,sizeBytes,modifiedAtUtc,sha256,pdfMagicValid,pageCount,textCharacterCount,sourcePath,destinationPath
2015,2015广州中考.pdf,exam_paper,700514,2026-05-03T08:23:10.135024+00:00,534d8eee3b99446d514af736aaf4cd8e36f2803154f7778c0f656f1832b7510c,True,8,6188,D:\KQG_Data\guangzhou_physics_2015_2025\2015广州中考.pdf,D:\KQG_Data\source_materials\imported\guangzhou_physics_2015_2025\20260726-v2\raw\2015广州中考.pdf
2015,2015广州中考年报.pdf,exam_year_report,2125591,2026-05-03T08:16:53.540775+00:00,722aaefb7f1a81cfc413b0b7c7401798a50eb77305aa6b11397c521269202381,True,40,41011,D:\KQG_Data\guangzhou_physics_2015_2025\2015广州中考年报.pdf,D:\KQG_Data\source_materials\imported\guangzhou_physics_2015_2025\20260726-v2\raw\2015广州中考年报.pdf
2015,2015广州中考答案.pdf,answer_solution,400792,2026-05-03T08:23:11.783917+00:00,065a6293b5c1019ed2da199736df44c6d0304797d0a986a750449197ca9ba88d,True,4,1292,D:\KQG_Data\guangzhou_physics_2015_2025\2015广州中考答案.pdf,D:\KQG_Data\source_materials\imported\guangzhou_physics_2015_2025\20260726-v2\raw\2015广州中考答案.pdf
2016,2016广州中考.pdf,exam_paper,821294,2026-05-03T08:23:16.475052+00:00,377de2f0a5c7c8a35bff908ac5a4527b671702ac4265bf9d9728e531ae541cee,True,8,6228,D:\KQG_Data\guangzhou_physics_2015_2025\2016广州中考.pdf,D:\KQG_Data\source_materials\imported\guangzhou_physics_2015_2025\20260726-v2\raw\2016广州中考.pdf
2016,2016广州中考年报.pdf,exam_year_report,2172260,2026-05-03T08:17:05.853797+00:00,15e9d00bf1fe5a3a21419e58e45b99cd5b500321c72034f09e3b6c11881ae10c,True,52,64617,D:\KQG_Data\guangzhou_physics_2015_2025\2016广州中考年报.pdf,D:\KQG_Data\source_materials\imported\guangzhou_physics_2015_2025\20260726-v2\raw\2016广州中考年报.pdf
2016,2016广州中考答案.pdf,answer_solution,851883,2026-05-03T08:23:17.572149+00:00,fadc6107c2acaaf95de050f4693864a9fffcac71e456bf30a1f4593047ab408b,True,6,131,D:\KQG_Data\guangzhou_physics_2015_2025\2016广州中考答案.pdf,D:\KQG_Data\source_materials\imported\guangzhou_physics_2015_2025\20260726-v2\raw\2016广州中考答案.pdf
2017,2017广州中考.pdf,exam_paper,1019691,2026-04-27T11:17:54.546180+00:00,3f419b1779ebec02f74c694966924a2931611f3525d3d17701946bb63abfc4fa,True,8,6207,D:\KQG_Data\guangzhou_physics_2015_2025\2017广州中考.pdf,D:\KQG_Data\source_materials\imported\guangzhou_physics_2015_2025\20260726-v2\raw\2017广州中考.pdf
2017,2017广州中考年报.pdf,exam_year_report,3073807,2026-05-03T08:17:21.123411+00:00,625a8ede241011338ed88543a787750d20512bef72253debbaf2104e77f91a65,True,56,56657,D:\KQG_Data\guangzhou_physics_2015_2025\2017广州中考年报.pdf,D:\KQG_Data\source_materials\imported\guangzhou_physics_2015_2025\20260726-v2\raw\2017广州中考年报.pdf
2017,2017广州中考答案.pdf,answer_solution,335295,2026-05-03T08:23:19.987859+00:00,f87c3cb8ed02969137ba916184045052ec3efecbd6331dd1d192fe52de67d207,True,4,1642,D:\KQG_Data\guangzhou_physics_2015_2025\2017广州中考答案.pdf,D:\KQG_Data\source_materials\imported\guangzhou_physics_2015_2025\20260726-v2\raw\2017广州中考答案.pdf
2018,2018广州中考.pdf,exam_paper,1291035,2026-04-27T11:18:56.713433+00:00,c4feff77379271fbea32404b1ab3952800ff305639c8af446fa1c8c68a2fc794,True,11,6852,D:\KQG_Data\guangzhou_physics_2015_2025\2018广州中考.pdf,D:\KQG_Data\source_materials\imported\guangzhou_physics_2015_2025\20260726-v2\raw\2018广州中考.pdf
