summary_item,value
source_files_count,33
curriculum_items_count,114
textbook_nodes_count,117
knowledge_points_count,82
exam_points_count,47
question_items_count,210
subquestion_items_count,349
answer_rows_count,210
year_report_observations_count,210
student_error_patterns_count,47
teaching_suggestions_count,47
mappings_count,975
evidence_rows_count,290
quality_issues_count,210
low_confidence_rows_count,210
rows_missing_source_location_count,210
main_risks,仍为candidate候选数据；图形题语义、非选择题评分点、年报逐题难度区分度需人工复核
